node_id,distance_to_node,time,ego_id,foe_id,min_ttc,max_drac,pet
cluster_1177211394_1177211683,7.349511186572246e-05,166.5,260,90,2.3,3.05,
cluster_1177211394_1177211683,7.349511186572246e-05,166.5,90,260,2.3,3.05,
1177211785,0.00011987180067032146,151.0,189,217,1.14,2.6,
cluster_1177211838_13300645525_13300645528,0.00014170160987467872,151.5,189,220,1.79,2.21,
664446557,7.98238931608675e-05,168.0,202,258,1.77,1.87,4.26
cluster_1177211838_13300645525_13300645528,8.459605890151932e-05,132.0,217,201,2.75,1.01,
cluster_1177211838_13300645525_13300645528,8.558536953347514e-05,133.0,220,201,1.44,2.74,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00013068577469212077,160.5,231,108,1.28,2.66,
1186025330,1.3932768815839569e-05,170.5,19,275,0.65,5.65,2.41
1186025330,1.3932768815839569e-05,170.5,275,19,0.65,5.65,2.41
cluster_10279701142_664471710,9.771177239537115e-05,156.0,98,141,0.95,1.82,
cluster_10279701142_664471710,0.00012459178333715142,159.5,98,216,2.73,1.93,
cluster_1186025344_13298747727_13298747728_13298747738_#3more,0.0002527868846278348,122.5,57,52,1.0,3.54,
cluster_664446535_8507351665_8507351666,5.4434519153010445e-05,147.5,57,211,2.48,1.73,
cluster_13298740740_664446558,5.9092424454417275e-06,155.5,57,53,,3.34,
cluster_1189036595_13298747741,7.582029098176908e-05,163.5,57,72,2.33,1.51,
cluster_1186025344_13298747727_13298747728_13298747738_#3more,0.0002527868846278348,122.5,52,57,1.0,3.54,
cluster_664446535_8507351665_8507351666,5.4434519153010445e-05,147.5,52,211,2.12,2.17,
cluster_13298740740_664446558,1.910492868972921e-06,154.0,52,53,,3.64,
cluster_1177211838_13300645525_13300645528,8.459605890151932e-05,132.0,201,217,2.75,1.01,
cluster_1177211838_13300645525_13300645528,8.558536953347514e-05,133.0,201,220,1.44,2.74,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00019725959096935934,6.0,7,12,1.21,2.24,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00019725959096935934,62.5,7,16,2.43,1.94,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00019725959096935934,77.5,7,48,2.89,1.86,
cluster_11944729366_664471711,0.00012914710577009017,127.5,7,16,2.35,1.72,
